MSOA11CD,inner_outer
E02000369,Inner
E02000370,Inner
E02000371,Inner
E02000372,Inner
E02000373,Inner
E02000374,Inner
E02000375,Inner
E02000376,Inner
E02000377,Inner
E02000378,Inner
E02000379,Inner
E02000380,Inner
E02000381,Inner
E02000382,Inner
E02000383,Inner
E02000384,Inner
E02000385,Inner
E02000386,Inner
E02000387,Inner
E02000388,Inner
E02000389,Inner
E02000390,Inner
E02000391,Inner
E02000392,Inner
E02000393,Inner
E02000394,Inner
E02000395,Inner
E02000396,Inner
E02000397,Inner
E02000398,Inner
E02000400,Inner
E02000401,Inner
E02000402,Inner
E02000403,Inner
E02000404,Inner
E02000405,Inner
E02000406,Inner
E02000407,Inner
E02000408,Inner
E02000409,Inner
E02000410,Inner
E02000411,Inner
E02000412,Inner
E02000413,Inner
E02000414,Inner
E02000415,Inner
E02000416,Inner
E02000417,Inner
E02000418,Inner
E02000419,Inner
E02000420,Inner
E02000421,Inner
E02000422,Inner
E02000423,Inner
E02000424,Inner
E02000425,Inner
E02000426,Inner
E02000427,Inner
E02000428,Inner
E02000429,Inner
E02000430,Inner
E02000431,Inner
E02000432,Inner
E02000433,Outer
E02000434,Outer
E02000435,Outer
E02000436,Outer
E02000437,Outer
E02000438,Outer
E02000439,Outer
E02000440,Outer
E02000441,Outer
E02000442,Outer
E02000443,Outer
E02000444,Outer
E02000445,Outer
E02000447,Outer
E02000448,Outer
E02000449,Outer
E02000451,Outer
E02000452,Outer
E02000453,Outer
E02000454,Outer
E02000455,Outer
E02000456,Outer
E02000457,Outer
E02000459,Outer
E02000460,Outer
E02000461,Outer
E02000462,Outer
E02000463,Outer
E02000464,Outer
E02000465,Outer
E02000466,Outer
E02000467,Outer
E02000468,Outer
E02000469,Outer
E02000470,Outer
E02000471,Outer
E02000472,Outer
E02000473,Outer
E02000474,Outer
E02000475,Outer
E02000476,Outer
E02000477,Outer
E02000478,Outer
E02000479,Outer
E02000480,Outer
E02000481,Outer
E02000482,Outer
E02000483,Outer
E02000484,Outer
E02000485,Outer
E02000486,Outer
E02000487,Outer
E02000488,Outer
E02000489,Outer
E02000490,Outer
E02000491,Outer
E02000492,Outer
E02000493,Outer
E02000494,Outer
E02000495,Outer
E02000496,Outer
E02000497,Outer
E02000498,Outer
E02000499,Outer
E02000500,Outer
E02000501,Outer
E02000502,Outer
E02000503,Outer
E02000504,Outer
E02000506,Outer
E02000507,Outer
E02000508,Outer
E02000509,Outer
E02000510,Outer
E02000511,Outer
E02000512,Outer
E02000513,Outer
E02000514,Outer
E02000515,Outer
E02000516,Outer
E02000517,Outer
E02000518,Outer
E02000519,Outer
E02000520,Outer
E02000521,Outer
E02000522,Outer
E02000523,Outer
E02000524,Outer
E02000525,Outer
E02000526,Outer
E02000528,Outer
E02000529,Outer
E02000530,Outer
E02000531,Outer
E02000532,Outer
E02000533,Outer
E02000534,Outer
E02000535,Outer
E02000536,Outer
E02000537,Outer
E02000538,Outer
E02000539,Outer
E02000540,Outer
E02000541,Outer
E02000542,Outer
E02000543,Outer
E02000544,Outer
E02000545,Outer
E02000546,Outer
E02000547,Outer
E02000548,Outer
E02000549,Outer
E02000550,Outer
E02000551,Outer
E02000552,Outer
E02000553,Outer
E02000554,Inner
E02000555,Inner
E02000556,Inner
E02000557,Inner
E02000558,Inner
E02000559,Inner
E02000560,Inner
E02000561,Inner
E02000562,Inner
E02000563,Inner
E02000564,Inner
E02000565,Inner
E02000566,Inner
E02000567,Inner
E02000568,Inner
E02000569,Inner
E02000570,Inner
E02000571,Inner
E02000572,Inner
E02000573,Inner
E02000574,Inner
E02000575,Inner
E02000576,Inner
E02000577,Inner
E02000578,Inner
E02000579,Inner
E02000580,Inner
E02000581,Inner
E02000582,Inner
E02000583,Inner
E02000584,Inner
E02000585,Inner
E02000586,Inner
E02000587,Inner
E02000588,Inner
E02000589,Inner
E02000590,Inner
E02000591,Inner
E02000592,Inner
E02000593,Inner
E02000594,Inner
E02000595,Inner
E02000596,Inner
E02000597,Inner
E02000598,Outer
E02000599,Outer
E02000600,Outer
E02000601,Outer
E02000602,Outer
E02000603,Outer
E02000604,Outer
E02000605,Outer
E02000606,Outer
E02000607,Outer
E02000608,Outer
E02000609,Outer
E02000610,Outer
E02000611,Outer
E02000612,Outer
E02000613,Outer
E02000614,Outer
E02000615,Outer
E02000616,Outer
E02000617,Outer
E02000619,Inner
E02000620,Inner
E02000621,Inner
E02000622,Inner
E02000623,Inner
E02000624,Inner
E02000625,Inner
E02000626,Inner
E02000627,Inner
E02000628,Inner
E02000629,Inner
E02000630,Inner
E02000631,Inner
E02000632,Inner
E02000633,Inner
E02000634,Inner
E02000635,Inner
E02000636,Inner
E02000637,Inner
E02000638,Inner
E02000639,Inner
E02000640,Inner
E02000641,Inner
E02000642,Inner
E02000643,Inner
E02000644,Inner
E02000645,Inner
E02000646,Inner
E02000647,Inner
E02000648,Inner
E02000649,Inner
E02000650,Inner
E02000651,Inner
E02000652,Inner
E02000653,Inner
E02000654,Inner
E02000655,Inner
E02000657,Inner
E02000658,Inner
E02000659,Inner
E02000660,Inner
E02000661,Inner
E02000662,Inner
E02000663,Inner
E02000664,Inner
E02000665,Inner
E02000666,Inner
E02000667,Inner
E02000668,Inner
E02000669,Inner
E02000670,Inner
E02000671,Inner
E02000672,Inner
E02000673,Inner
E02000674,Inner
E02000675,Inner
E02000676,Inner
E02000677,Inner
E02000678,Inner
E02000679,Inner
