OBJECTID,MSOA11CD,BNG_E,BNG_N,Borough,msoa11hclnm,geometry,pub_tra_stops,bus_stops,rail_stops,Middle Super Output Area,BAME_per_2011,land_area_hectares,pop_den_2011,median_house_price_2012,level_4_per_2011,unemployment_rate_2011,median_income_2011/12,deprived_household_per_2010,bad_health_per_2011,no_car_per_2011,one_car_per_2011,car_per_household_2011,Unnamed: 0,MSOA,car_Tobs,bus_Tobs,rail_Tobs,car_ave_t,bus_ave_t,rail_ave_t,total_ave_t,total_Tobs,car_per,bus_per,rail_per,pub_per,pub_tra_stops_den,bus_stops_den,rail_stops_den,one_car_or_more_per_2011
235,E02000241,513604,184299,Ealing,Northolt East,"POLYGON ((514359.277 184607.888, 514378.758 184535.566, 514501.836 184336.345000001, 514580.047 184330.960999999, 514105.38 184212.620999999, 514075.7832 184204.992799999, 514054.676 184200.153000001, 513737.246 184098.833000001, 513445.352 183679.664000001, 513431.344 183592.785, 513420.707 183594.955, 513375.588 183604.176000001, 513134.659 183665.977, 512896.171 183760.783, 512930.01 183919.226, 512897.982 183905.119000001, 512767.51 183972.984999999, 512747.546 184018.720000001, 512663.716 184023.503, 512756.969 184114.727, 512736.848 184157.75, 512764 184178.999, 512795 184142.001, 512821.897 184165.637, 512774.191 184226.072000001, 512736.901 184409.833000001, 512655.342 184481.834000001, 512747.221 184541.669, 512857.38 184441.682, 512898.282 184479.661, 512811.573 184554.744999999, 512839.214 184595.596000001, 512907.856 184647.498, 512995.861 184747.914000001, 513045.012 184687.658, 513089.585 184714.191, 513160.424 184684.134, 513221.11 184748.945, 513275.218 184714.812000001, 513329 184788, 513330 184674, 513276.939 184641.889, 513443.039 184550.91, 513496.466 184590.604, 513484.791 184633.793, 513576.3498 184701.1174, 513769.182 184836.34, 513787.901 184877.295, 513872.088 184890.628, 513973 184704, 513959.225 184574.452, 513967.357 184554.671, 514109.232 184739.388, 514163.523 184820.733999999, 514181.975 184846.969000001, 514193.25 184863, 514280.101 184944.578, 514179.001 184989, 514224.716 185005.66, 514357.003 184969.801999999, 514366.8355 184917.261, 514443.577 184849.086999999, 514320.7085 184699.661499999, 514382.918 184645.527000001, 514359.277 184607.888))",30.0,29.0,1.0,E02000241,48.8,130.5,52.0,253500,0.304282211,6.3,30465,14.3,3.1,25.4,48.4,1.1,240.0,E02000241,1031,330,880,5.905677056353057,29.189534638181826,22.03357729468182,15.667491073190542,2241,46.00624721106648,14.725568942436409,39.2681838464971,53.99375278893351,0.22988505747126436,0.2222222222222222,0.007662835249042145,74.6
236,E02000242,516992,183866,Ealing,Bilton Road,"POLYGON ((517494.1608 183912.474199999, 517602.954 183763.880999999, 517666.514 183690.2895, 517582.163 183640.7095, 517581.859 183606.852, 517593.659 183373.277000001, 517593.864 183367.483999999, 517593.948 183364.556, 517568.188 183017.125, 517494.7974 182928.977399999, 517445.598 182925.322000001, 517190.917 183020.941, 517066.821 183069.437999999, 517191.02 183414.907, 517155.412 183500.486, 517083.556 183551.152000001, 516959.665 183563.136, 516913.289 183607.017000001, 516885 183453, 516781.3496 183319.736199999, 516664.7805 183456.543500001, 516601.6545 183451.146, 516453.976 183592.027000001, 516466.143 183652.741, 516558 183647, 516544.1124 183830.568, 516523 183833, 516321.788 183809.967, 516358.638 183888.501, 516484.219 183889.469000001, 516631.594 184032.155999999, 516834.173 184106.530999999, 516861.23 184116.532, 517051.438 184187.402000001, 517234.156 184212.094000001, 517391.4818 184060.2316, 517411.545 184032.024, 517494.1608 183912.474199999))",10.0,10.0,0.0,E02000242,63.6,88.9,78.0,289000,0.294843049,7.0,29655,14.4,3.3,25.1,45.6,1.1,241.0,E02000242,922,323,712,5.686602177809113,27.54231933993808,18.746119983005627,14.045198662565156,1957,47.11292795094532,16.50485436893204,36.38221768012263,52.88707204905467,0.11248593925759279,0.11248593925759279,0.0,74.9
237,E02000243,514764,183622,Ealing,Greenford North,"POLYGON ((515024.8 184377.098999999, 515111.7538 184317.423699999, 515288.719 184349.219000001, 515386.3424 184230.9078, 515470.375 184021.155999999, 515546.473 183948.8665, 515797.469 183904.891000001, 515785.657 183808.391000001, 515847.938 183627.594000001, 515915.25 183638.016000001, 515933.935 183489.3716, 515915.946 183496.262, 515639.906 183604.266000001, 515534.969 183603.655999999, 515431.629 183553.903999999, 515346.563 183396.948999999, 515380.166 183225.989, 515441.1316 183038.839199999, 515653.265 183000.714, 515701.987 182993.623, 515702.638 182978.968, 515745.418 182778.483999999, 515938 182766, 515943 183000.999, 516012.561 182998.3563, 515995.491 182965, 516079.537 182967.566, 516087.041 182674.343, 515963.781 182665.469000001, 515855.063 182713.483999999, 515799.188 182692.969000001, 515768.188 182643.312000001, 515756.281 182423.530999999, 515658.727 182362.785, 515463.781 182310.297, 515341.392 182346.991, 515299.423 182321.093, 515261.063 182302.453, 515231.625 182334.173, 515131.625 182266.594000001, 514964.3445 182242.6535, 514869.002 182247.046499999, 514924.969 182321.767000001, 514907 182404.125, 514940.063 182500.655999999, 514885.875 182666.078, 514834.69 182711.689999999, 514891.4 182786.892999999, 514816.1444 182893.7152, 514717.677 183013.2905, 514674.2927 182924.8916, 514634.5864 182841.5667, 514577.496 182731.68, 514511.886 182760.284, 514507.494 182916.926000001, 514477 182858, 514418.813 182861.620999999, 514395.3505 182760.7455, 514303.116 182810.827, 514332.739 182873.16, 514258.964 182912.824999999, 514272.535 182938.585000001, 514236.23 182982.085999999, 514302.051 182969.257999999, 514318.198 183044.131999999, 514224.602 183096.703, 514258.76 183119.987, 514249 183147, 514311 183158, 514475.048 183122.655999999, 514516.929 183144.35, 514496.307 183299.175000001, 514225.615 183378.824999999, 514096.5886 183415.763599999, 513588.251 183566.043, 513431.344 183592.785, 513445.352 183679.664000001, 513737.246 184098.833000001, 514054.676 184200.153000001, 514075.7832 184204.992799999, 514105.38 184212.620999999, 514580.047 184330.960999999, 514631.037 184301.812999999, 514863 184260, 514904.048 184524.922, 514984.3 184511.1, 515024.8 184377.098999999))",20.0,18.0,2.0,E02000243,51.0,284.6,30.2,230000,0.290992052,7.4,29187,18.3,3.9,29.8,45.4,1.0,242.0,E02000243,1253,405,1032,5.413624651388664,28.10317648641976,20.193426360271324,14.499878873230484,2690,46.57992565055762,15.05576208178438,38.36431226765799,53.42007434944238,0.07027406886858749,0.06324666198172874,0.007027406886858749,70.2
238,E02000244,516251,183185,Ealing,Perivale,"POLYGON ((516358.638 183888.501, 516321.788 183809.967, 516523 183833, 516544.1124 183830.568, 516558 183647, 516466.143 183652.741, 516453.976 183592.027000001, 516601.6545 183451.146, 516664.7805 183456.543500001, 516781.3496 183319.736199999, 516885 183453, 516913.289 183607.017000001, 516959.665 183563.136, 517083.556 183551.152000001, 517155.412 183500.486, 517191.02 183414.907, 517066.821 183069.437999999, 517190.917 183020.941, 517445.598 182925.322000001, 517494.7974 182928.977399999, 517825.779 182817.75, 517772.938 182763.875, 517590.4168 182781.5262, 517429.438 182752.905999999, 517399.781 182595.125, 517320.689 182549.0186, 517235.163 182560.336300001, 517229.313 182633.733999999, 517165.969 182640.672, 517149.313 182583.671, 517102.407 182593.483999999, 517131.031 182702.953, 517068.508 182710.484999999, 516945.594 182631.030999999, 516921.5 182491.078, 516729.792 182439.051999999, 516629.719 182565.797, 516625.313 182670.391000001, 516530.8718 182736.2556, 516437.591 182722.027000001, 516377.75 182662.812000001, 516393.344 182585.516000001, 516325.063 182554.25, 516304.563 182474.562000001, 516198.311 182453.586999999, 516081.719 182585.5, 516105.563 182637.329, 516087.041 182674.343, 516079.537 182967.566, 515995.491 182965, 516012.561 182998.3563, 515943 183000.999, 515938 182766, 515745.418 182778.483999999, 515702.638 182978.968, 515701.987 182993.623, 515653.265 183000.714, 515441.1316 183038.839199999, 515380.166 183225.989, 515346.563 183396.948999999, 515431.629 183553.903999999, 515534.969 183603.655999999, 515639.906 183604.266000001, 515915.946 183496.262, 515933.935 183489.3716, 515915.25 183638.016000001, 515847.938 183627.594000001, 515785.657 183808.391000001, 515797.469 183904.891000001, 515934.969 183849.858999999, 516030.1504 183895.635600001, 516247.113 183931.6525, 516358.638 183888.501))",22.0,20.0,2.0,E02000244,46.1,179.7,40.8,274000,0.330440819,5.6,32152,12.0,3.4,24.8,49.9,1.1,243.0,E02000244,1019,245,984,5.510284917880274,25.886468876734696,18.537867408953247,13.433463850769572,2248,45.32918149466192,10.89857651245551,43.77224199288256,54.67081850533808,0.12242626599888703,0.11129660545353368,0.011129660545353368,75.2
239,E02000245,512054,183874,Ealing,Northolt South,"POLYGON ((511386.625 184455.483999999, 511815.797 184302.84, 512265.714 184095.072000001, 512293.961 184080.861, 512426.151 184009.866, 512551.479 183942.5337, 512831.2106 183793.197799999, 512730.031 183541.875, 512818.313 183496.562000001, 512783.8786 183342.735200001, 512652.059 183357.988, 512645.688 183172.547, 512538.404 183191.084000001, 512508.853 183074.984999999, 512563.441 183055.377, 512586 183139, 512711.471 183129.321, 512709.259 183016.59, 512742.828 183027.9, 512739 183096, 512875.59 183086.880000001, 512890.832 183144.93, 512924.164 183139.562000001, 512923.514 183113.554, 512909.035 182989.186000001, 512949.166 182989.196, 512980.15 182941.4, 512892.742 182870.086999999, 512876.583 182904.617000001, 512827.544 182836.27, 512829.697 182796.777000001, 512775.732 182599.765000001, 512721.802 182605.301999999, 512720.408 182634.922, 512710.669 182705.187999999, 512592.33 182722.4706, 512561.577 182718.846000001, 512493.464 182595.545, 512488.048 182574.285, 512485.684 182565.002, 512403.0679 182409.3912, 512183.605 182466.983999999, 512180.1578 182468.1162, 512004.434 182508.219000001, 511975.0725 182415.369000001, 511784.864 182565.717, 511779.371 182652.795, 511768.303 182728.391000001, 511763.487 182818.146, 511839.752 182802.436000001, 511872.681 182863.809, 511837.259 182888.259, 511908 182913, 511854.001 182967.001, 511880.821 183027.376, 511861.777 183085.146, 511836.611 183140.153999999, 511862.238 183182.793, 511937.608 183117.835000001, 511994.627 183099.217, 512111.297 182994.684, 512371.518 183072.943, 512238.651 183344.374, 512173.802 183449.483999999, 512166.038 183462.876, 512153.898 183406.404999999, 512096 183401.001, 512028.233 183477.573999999, 512097.848 183522.278000001, 512005.013 183572.686000001, 511991.686 183661.550000001, 511817.645 183666.877, 511709.799 183569.32, 511668.057 183602.575999999, 511643.907 183701.889, 511516.001 183670, 511477.692 183754.619999999, 511374.528 183730.753, 511241.288 183698.343, 511225.464 183824.444, 511378.8675 183853.6175, 511365.4085 183977.5155, 511286.421 184229.408, 511190.594 184195.858999999, 511128.531 184444.922, 511391.6795 184416.937999999, 511386.625 184455.483999999))",9.0,9.0,0.0,E02000245,56.5,165.5,50.1,189000,0.227430269,11.5,22255,33.9,5.1,41.3,42.8,0.8,244.0,E02000245,1189,613,534,5.777755906947015,30.25882685252856,21.86563243913857,15.879563508758563,2336,50.898972602739725,26.24143835616438,22.85958904109589,49.101027397260275,0.054380664652567974,0.054380664652567974,0.0,58.7
240,E02000246,511067,183203,Ealing,Kingshill Avenue,"POLYGON ((511225.464 183824.444, 511241.288 183698.343, 511374.528 183730.753, 511477.692 183754.619999999, 511516.001 183670, 511643.907 183701.889, 511668.057 183602.575999999, 511709.799 183569.32, 511817.645 183666.877, 511991.686 183661.550000001, 512005.013 183572.686000001, 512097.848 183522.278000001, 512028.233 183477.573999999, 512096 183401.001, 512153.898 183406.404999999, 512166.038 183462.876, 512173.802 183449.483999999, 512238.651 183344.374, 512371.518 183072.943, 512111.297 182994.684, 511994.627 183099.217, 511937.608 183117.835000001, 511862.238 183182.793, 511836.611 183140.153999999, 511861.777 183085.146, 511880.821 183027.376, 511854.001 182967.001, 511908 182913, 511837.259 182888.259, 511872.681 182863.809, 511839.752 182802.436000001, 511763.487 182818.146, 511768.303 182728.391000001, 511779.371 182652.795, 511784.864 182565.717, 511614.768 182611.874, 511588.929 182619.889, 511358.538 182671.7118, 511288.6344 182680.9164, 511276.385 182683.912, 511124.4598 182719.4596, 511069.9756 182731.750299999, 510773.783 182786.617000001, 510724.409 182797.489, 510508.354 182854.59, 510395.939 182887.071, 510302.406 182909.687000001, 510251.644 182886.4614, 510221.719 182934.530999999, 510135.469 182953.905999999, 510104.531 183073.252, 510044.375 183090.875, 509999.973 183162.103, 509851.094 183165.108999999, 509851.407 183288.391000001, 509809.298 183306.918, 509729.219 183330.578, 509700.031 183371.766000001, 509797.312 183431.828, 509705.469 183530.187000001, 509718.3947 183577.9092, 509773.844 183557.0605, 509939.313 183562.608999999, 510717.219 183828.844000001, 511225.464 183824.444))",17.0,17.0,0.0,E02000246,54.5,205.7,42.7,228500,0.202356955,10.7,24459,25.4,3.9,33.5,41.9,1.0,245.0,E02000246,1384,624,399,5.997722085585258,26.949678107532048,24.29777671834587,14.462924560103865,2407,57.49896136269215,25.92438720398837,16.57665143331948,42.50103863730785,0.08264462809917356,0.08264462809917356,0.0,66.5
241,E02000247,513251,183102,Ealing,Greenford West,"POLYGON ((514096.5886 183415.763599999, 514057.779 183290.086999999, 514032.829 183275.412, 513928.688 183168.937000001, 513957.405 182981.064999999, 513957.429 182966.564999999, 513916.656 182703.530999999, 514098.563 182687.823999999, 514077.305 182618.311000001, 513964.999 182694, 513856.157 182709.359999999, 513724.754 182732.699999999, 513768.271 182659.736, 513668.91 182600.923, 513648.502 182515.466, 513599.655 182528.682, 513592.999 182507, 513558.9872 182567.0218, 513527.335 182547.615, 513496.148 182598.478, 513441.731 182549.266000001, 513400.118 182384.890000001, 513375.406 182344.969000001, 513338.4855 182352.8005, 513352.469 182421, 513312.527 182462.709000001, 513331.281 182553.030999999, 513229.708 182576.6055, 513198.341 182415.555, 513176.03 182416.105, 513029.906 182419.703, 513008.6925 182375.592499999, 512918.188 182385.405999999, 512925.544 182427.061000001, 512805.224 182452.919, 512750.916 182463.106000001, 512725.288 182352.513, 512640.952 182369.356000001, 512403.0679 182409.3912, 512485.684 182565.002, 512488.048 182574.285, 512493.464 182595.545, 512561.577 182718.846000001, 512592.33 182722.4706, 512710.669 182705.187999999, 512720.408 182634.922, 512721.802 182605.301999999, 512775.732 182599.765000001, 512829.697 182796.777000001, 512827.544 182836.27, 512876.583 182904.617000001, 512892.742 182870.086999999, 512980.15 182941.4, 512949.166 182989.196, 512909.035 182989.186000001, 512923.514 183113.554, 512924.164 183139.562000001, 512890.832 183144.93, 512875.59 183086.880000001, 512739 183096, 512742.828 183027.9, 512709.259 183016.59, 512711.471 183129.321, 512586 183139, 512563.441 183055.377, 512508.853 183074.984999999, 512538.404 183191.084000001, 512645.688 183172.547, 512652.059 183357.988, 512783.8786 183342.735200001, 512818.313 183496.562000001, 512730.031 183541.875, 512831.2106 183793.197799999, 512896.171 183760.783, 513134.659 183665.977, 513375.588 183604.176000001, 513420.707 183594.955, 513431.344 183592.785, 513588.251 183566.043, 514096.5886 183415.763599999))",26.0,26.0,0.0,E02000247,57.8,139.8,74.2,197500,0.258802364,8.8,26048,27.2,4.2,31.6,48.0,0.9,246.0,E02000247,1623,729,697,6.25294505275416,29.68727244334704,22.267558381779043,15.516903779573624,3049,53.23056739914727,23.90947851754673,22.859954083306,46.76943260085274,0.1859799713876967,0.1859799713876967,0.0,68.4
242,E02000248,518566,182460,Ealing,Hanger Hill East,"POLYGON ((519534.092 183180.058, 519440.902 182976.403999999, 519320.788 182925.206, 519286.656 182992.203, 519257.6444 182981.1218, 519146.727 182958.816, 519118.313 183018.733999999, 519006.691 182965.7042, 518989.341 182937.113, 518978.357 182931.709000001, 518752.019 182804.1535, 519014.156 182535.172, 519203.899 182500.768999999, 519149.43 182314.620999999, 519125.906 182290.25, 519140.47 182237.277000001, 519069.585 182229.753, 519078.229 182196.078, 519102 182020, 519062.731 182023.589, 519053.721 182066.488, 518976.413 182072.316, 518965.382 182025.033, 518881.998 182027.848999999, 518876.62 181898.431, 518834.382 181837.865, 518850.98 181793.198999999, 518771.411 181761.374, 518726.735 181777.353, 518625.7204 181720.500399999, 518466.069 181682.325999999, 518469.326 181629.989, 518343.698 181615.651000001, 518311 181744, 518320.824 181864.442, 518181.52 181846.852, 518131.508 181873.643999999, 518117.348 181833.435000001, 517897.75 181840.594000001, 517784.7604 181780.699200001, 517776.367 181881.992000001, 517818 181973, 517732.524 181929.403000001, 517637.8455 181992.372500001, 517705.12 182009.845000001, 517732.556 182068.419, 517761.011 182006.593, 517951.977 182101.594000001, 517991.248 181992.998, 518039.262 181970.029999999, 518078.699 182013.848999999, 518084.919 182175.408, 518085.133 182349.502, 518161 182364, 518141 182551, 518006.9886 182585.974300001, 517964.154 182584.202, 517924.921 182640.895, 517781.508 182627.396, 517661.614 182659.954, 517621.206 182728.953, 517590.4168 182781.5262, 517772.938 182763.875, 517825.779 182817.75, 518042.719 182964.062000001, 518228.4795 183180.987199999, 518286.6305 183200.138499999, 518338.78 183153.969000001, 518478.7909 183168.3716, 518659.8443 183249.310799999, 518924.32 183376.084000001, 519207.3239 183589.2388, 519534.092 183180.058))",33.0,27.0,6.0,E02000248,47.0,172.7,42.9,310000,0.435137386,6.2,38267,12.6,3.0,29.7,48.2,1.0,247.0,E02000248,780,237,1304,5.1028289856410245,27.45304333966245,19.906496656671795,15.702132494872908,2321,33.606204222317956,10.21111589831968,56.18267987936234,66.39379577768203,0.1910828025477707,0.1563404748118124,0.03474232773595831,70.3
243,E02000249,514352,182184,Ealing,Greenford South,"POLYGON ((514496.307 183299.175000001, 514516.929 183144.35, 514475.048 183122.655999999, 514311 183158, 514249 183147, 514258.76 183119.987, 514224.602 183096.703, 514318.198 183044.131999999, 514302.051 182969.257999999, 514236.23 182982.085999999, 514272.535 182938.585000001, 514258.964 182912.824999999, 514332.739 182873.16, 514303.116 182810.827, 514395.3505 182760.7455, 514418.813 182861.620999999, 514477 182858, 514507.494 182916.926000001, 514511.886 182760.284, 514577.496 182731.68, 514634.5864 182841.5667, 514674.2927 182924.8916, 514717.677 183013.2905, 514816.1444 182893.7152, 514891.4 182786.892999999, 514834.69 182711.689999999, 514885.875 182666.078, 514940.063 182500.655999999, 514907 182404.125, 514924.969 182321.767000001, 514869.002 182247.046499999, 514733.157 182266.687000001, 514676.1176 182240.852399999, 514632.527 182207.118000001, 514594.719 182150.75, 514607.769 182056.956, 514640.125 181885.328, 514531.399 181701.856000001, 514495.7674 181583.4868, 514365.719 181607.921, 514322.938 181528.858999999, 514266.5238 181533.9768, 514262.867 181507.373, 514223 181518.77, 514230 181408, 514249.32 181164.385, 514249 181134, 514190 181142, 514186.036 181111.772, 514243.431 181077.741, 514212 180886, 514168.003 180893.071, 514156 180895, 514050.729 180909.846000001, 514057.808 180956.505000001, 514125.385 180946.607000001, 514137.126 181022.113, 514100.026 181030.197000001, 514105.659 181155.261, 514164.036 181267.107999999, 514032.536 181229.466, 513970.33 181242.888, 513780.903 181309.300000001, 513852.917 181289.300000001, 513865.402 181328.982000001, 513826.543 181344.653000001, 513841.491 181402.157, 513811.673 181411.98, 513828.315 181468.251, 513801.004 181490.982000001, 513823.391 181546.783, 513764 181576, 513801.813 181703.196, 513852.625 181836.673, 513877.226 181864.234999999, 514066.97 181823.25, 514120.406 181906.766000001, 514085.601 181963.687000001, 514055.5 182005.547, 514101.3272 182070.5844, 514148.094 182147.922, 514091.381 182187.643999999, 514133.817 182247.595000001, 514105.142 182285.726, 514028.271 182302.189999999, 514047.0145 182341.9495, 514186 182334, 514218 182450, 514235.432 182509.568, 514077.305 182618.311000001, 514098.563 182687.823999999, 513916.656 182703.530999999, 513957.429 182966.564999999, 513957.405 182981.064999999, 513928.688 183168.937000001, 514032.829 183275.412, 514057.779 183290.086999999, 514096.5886 183415.763599999, 514225.615 183378.824999999, 514496.307 183299.175000001))",25.0,25.0,0.0,E02000249,55.0,127.8,61.2,263750,0.275331478,7.6,28013,21.7,3.9,33.5,43.0,1.0,248.0,E02000249,1134,611,570,5.395009650264552,27.89230259492637,22.428305970385967,15.52668346955508,2315,48.98488120950324,26.39308855291576,24.62203023758099,51.01511879049676,0.19561815336463223,0.19561815336463223,0.0,66.5
244,E02000250,517494,182203,Ealing,Pitshanger,"POLYGON ((517661.614 182659.954, 517781.508 182627.396, 517924.921 182640.895, 517964.154 182584.202, 518006.9886 182585.974300001, 518141 182551, 518161 182364, 518085.133 182349.502, 518084.919 182175.408, 518078.699 182013.848999999, 518039.262 181970.029999999, 517991.248 181992.998, 517951.977 182101.594000001, 517761.011 182006.593, 517732.556 182068.419, 517705.12 182009.845000001, 517637.8455 181992.372500001, 517732.524 181929.403000001, 517818 181973, 517776.367 181881.992000001, 517784.7604 181780.699200001, 517685.7042 181766.682, 517630.541 181743.588, 517555.916 181687, 517451.952 181789.8465, 517275.5369 181642.0075, 517250.725 181618.184, 517183 181763, 516996.779 181813.037, 517038.33 181881.847999999, 516993.706 181920.975, 517009.124 181942.33, 516955.704 181957.671, 516886.2 182077.5, 516821.945 182057.631999999, 516810.526 182107.275, 516921.091 182132.289999999, 516869.063 182324.444, 516811.493 182278.318, 516775.795 182273.208000001, 516768 182304, 516697.363 182290.086999999, 516692.469 182316.375, 516657 182373.800000001, 516729.792 182439.051999999, 516921.5 182491.078, 516945.594 182631.030999999, 517068.508 182710.484999999, 517131.031 182702.953, 517102.407 182593.483999999, 517149.313 182583.671, 517165.969 182640.672, 517229.313 182633.733999999, 517235.163 182560.336300001, 517320.689 182549.0186, 517399.781 182595.125, 517429.438 182752.905999999, 517590.4168 182781.5262, 517621.206 182728.953, 517661.614 182659.954))",6.0,6.0,0.0,E02000250,24.2,99.8,64.9,550000,0.593269792,4.1,61772,5.9,2.2,20.7,52.7,1.1,249.0,E02000250,765,155,1093,5.77358173184314,25.590791251612902,21.85964934803295,16.033760261430707,2013,38.002980625931436,7.699950322901141,54.29706905116741,61.99701937406855,0.06012024048096193,0.06012024048096193,0.0,79.3
245,E02000251,513604,181962,Ealing,Greenford Ravenor Park,"POLYGON ((514077.305 182618.311000001, 514235.432 182509.568, 514218 182450, 514186 182334, 514047.0145 182341.9495, 514028.271 182302.189999999, 514105.142 182285.726, 514133.817 182247.595000001, 514091.381 182187.643999999, 514148.094 182147.922, 514101.3272 182070.5844, 514055.5 182005.547, 514085.601 181963.687000001, 514120.406 181906.766000001, 514066.97 181823.25, 513877.226 181864.234999999, 513852.625 181836.673, 513801.813 181703.196, 513764 181576, 513823.391 181546.783, 513801.004 181490.982000001, 513828.315 181468.251, 513811.673 181411.98, 513841.491 181402.157, 513826.543 181344.653000001, 513865.402 181328.982000001, 513852.917 181289.300000001, 513780.903 181309.300000001, 513772.059 181313.265000001, 513600.061 181399.967, 513527.9 181252.1, 513566.481 181232.547, 513663.472 181183.392000001, 513561.389 181121.819, 513557.38 181122.806, 513448.535 181247.528999999, 513341.796 181292.407, 513350.141 181309.256999999, 513466.885 181502.539000001, 513577.956 181774.616, 513578.34 181776.153999999, 513493.012 181757.515000001, 513414.383 181673.937000001, 513363.336 181784.732000001, 513380.273 181832.355, 513352.786 181865.794500001, 513299.013 181819.051000001, 513240.543 181885.015000001, 513259.622 181987.756999999, 513281.581 182013.582, 513235.417 182105.515000001, 513186.188 182046.182, 513168.407 182086.923, 513122.905 182209.014, 513058.356 182216.557, 513041.745 182170.259, 512981.7 182183.622, 513008.6925 182375.592499999, 513029.906 182419.703, 513176.03 182416.105, 513198.341 182415.555, 513229.708 182576.6055, 513331.281 182553.030999999, 513312.527 182462.709000001, 513352.469 182421, 513338.4855 182352.8005, 513375.406 182344.969000001, 513400.118 182384.890000001, 513441.731 182549.266000001, 513496.148 182598.478, 513527.335 182547.615, 513558.9872 182567.0218, 513592.999 182507, 513599.655 182528.682, 513648.502 182515.466, 513668.91 182600.923, 513768.271 182659.736, 513724.754 182732.699999999, 513856.157 182709.359999999, 513964.999 182694, 514077.305 182618.311000001))",9.0,9.0,0.0,E02000251,72.1,94.6,83.7,260000,0.263207996,7.5,28532,15.8,3.4,23.2,41.8,1.3,250.0,E02000251,1468,632,481,5.649264598923702,29.316648385284815,23.57268159841996,14.784851630980242,2581,56.877179387834175,24.4866330879504,18.63618752421542,43.12282061216583,0.09513742071881608,0.09513742071881608,0.0,76.8
246,E02000252,520241,182069,Ealing,North Acton,"POLYGON ((521028.219 183220.797, 521058.371 183113.0045, 521085.0605 183117.3333, 521315.094 183140.203, 521399.031 183114.797, 521449.314 183140.551999999, 521676.2014 183071.268200001, 521731.094 183000.719000001, 521695.7215 182893.725500001, 521811.244 182834.941, 521801.691 182814.491, 521696.188 182777.233999999, 521514.35 182587.329, 521455.707 182438.937999999, 521478.438 182374.172, 521328.25 182146.506999999, 521315.938 182068.155999999, 521375.236 181819.848999999, 521418.1172 181733.3816, 521431.977 181706.077, 521377.078 181689.566, 521345 181554, 521279.344 181492.079, 521225.863 181526.096000001, 521214.636 181461.514, 521249.015 181424.538000001, 521222.299 181389.561000001, 521102 181404, 521038.1719 181291.934900001, 521073.677 181281.853, 521084.5174 181209.564400001, 520989.467 181099.971999999, 520972.495 181074.682, 520959.521 180978.213, 520919.28 180954.844000001, 520847.794 181020.893999999, 520789.299 180873.16, 520733.802 180892.9175, 520734 180934.511, 520689.873 180932.93, 520660.709 181118.062000001, 520557.162 181065.529999999, 520545.039 181098.898, 520467.749 181103.91, 520467.828 181105.812000001, 520385.347 181150.569, 520351.936 181105.386, 520267.033 181054.153999999, 520200.086 181014.443, 520183.639 181058.743000001, 520024.797 181048.665999999, 520019.076 181115.479, 520196.231 181173.355, 520148.039 181226.83, 520107.13 181415.164999999, 520238.4325 181437.658500001, 520229 181477, 520194.819 181621.805, 520229.0448 181629.2634, 520220.743 181665.817, 520204.8755 181736.351, 520177.75 181845, 520154.219 181878.25, 520115.906 181868.687000001, 520091.188 181975.233999999, 520047.9352 181973.9286, 519992.094 182028.062000001, 519810.003 181827.103, 519537.438 181495.733999999, 519444.531 181573.469000001, 519394.406 181688, 519385.456 181865.219000001, 519382.875 181916.358999999, 519183 181909.469000001, 519140.47 182237.277000001, 519125.906 182290.25, 519149.43 182314.620999999, 519203.899 182500.768999999, 519378.531 182456.062000001, 519604.063 182553.328, 520000.031 182642.047, 520060 182654.312000001, 520072.938 182623.642000001, 520123.669 182651.301000001, 520169.75 182623.094000001, 520321.897 182703.702, 520447.056 182833.255000001, 520452.438 182901.858999999, 520553.469 182959.062000001, 520718.141 183121.858999999, 520752.757 183170.403000001, 520932.718 183264.030999999, 521028.219 183220.797))",75.0,73.0,2.0,E02000252,51.2,319.6,30.8,249975,0.361188369,8.7,26595,25.8,4.6,50.7,37.9,0.6,251.0,E02000252,787,474,1804,4.8667504984371055,23.94616661793249,17.59836061080932,15.310948829060363,3065,25.67699836867863,15.46492659053833,58.85807504078303,74.32300163132138,0.23466833541927407,0.22841051314142677,0.006257822277847309,49.3
